Code,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,Plastic_Waste_2000,Plastic_Waste_2001,Plastic_Waste_2002,Plastic_Waste_2003,Plastic_Waste_2004,Plastic_Waste_2005,Plastic_Waste_2006,Plastic_Waste_2007,Plastic_Waste_2008,Plastic_Waste_2009,Plastic_Waste_2010,Plastic_Waste_2011,Plastic_Waste_2012,Plastic_Waste_2013,Plastic_Waste_2014,Plastic_Waste_2015,Plastic_Waste_2016,Plastic_Waste_2017,Plastic_Waste_2018
EST,16806.975,17696.61,18589.15,19771.742,20803.758,22518.541,24578.816,26177.871,24429.021,20538.049,20713.426,21997.0,23026.0,23436.0,24146.0,24493.0,24857.0,26254.201,27408.664,27.718,27.982,28.901999999999997,29.387999999999998,21.26,23.29,26.85,27.85,53.72,39.42,38.22,39.18,35.98,49.06,50.17,46.47,49.1,49.95,41.9
LTU,10806.874,11606.729,12490.621,13917.508,14995.767,16417.95,17916.059,20138.473,20879.803,17983.35,18663.762,20243.0,21303.0,22274.0,23252.0,23889.0,24743.0,26157.205,27370.555,22.042,22.65,23.883999999999997,18.490000000000002,14.97,15.44,17.3,19.96,19.95,17.12,18.25,19.93,19.98,21.37,22.87,22.55,22.88,25.42,27.08
CYP,22326.799,23095.736,23828.072,24347.076,25355.24,26164.209,27142.018,28109.996,28736.975,27735.033,27630.104,27272.0,26011.0,24519.0,24411.0,24963.0,25577.0,26445.287,27184.416,22.041999999999998,22.65,23.884,22.633999999999997,44.83,46.36,17.05,19.18,21.11,19.48,19.03,17.85,17.62,18.25,18.56,18.99,19.34,20.47,19.97
SVK,13904.985,14361.901,14984.731,15773.095,16570.861,17649.52,19099.428,21109.94,22231.988,20953.037,21941.213,22483.0,22816.0,23132.0,23703.0,24588.0,25364.0,26096.148,27075.535,22.042,22.65,23.883999999999997,12.5,9.31,16.79,11.16,13.96,15.14,16.97,19.62,19.75,19.33,18.06,18.03,19.62,21.99,22.83,24.22
PRT,23372.041,23751.371,23896.459,23677.52,24142.766,24377.95,24809.04,25477.205,25590.88,24902.457,25463.164,25133.0,24218.0,24076.0,24423.0,24915.0,25346.0,26298.791,27035.6,27.79,29.28,31.19,31.55,32.86,33.86,35.86,35.89,36.74,35.77,34.14,33.79,33.31,34.16,34.59,35.7,36.66,38.86,40.31
HUN,13129.273,13933.562,14899.307,15829.899,16999.006,18140.617,19253.062,19763.791,20380.63,19461.07,20036.334,20886.0,20631.0,21126.0,22040.0,22788.0,23279.0,24349.959,25622.812,22.472,22.764,23.606,22.503999999999998,16.33,18.62,19.71,21.73,21.44,22.89,21.09,20.93,25.9,27.85,26.21,30.46,31.48,32.24,34.84
LVA,11309.74,12103.828,13015.475,14142.124,15371.182,17069.656,19128.69,21042.367,20342.2,17582.111,17140.227,18428.0,19405.0,20129.0,20751.0,21488.0,22092.0,23132.797,24312.678,22.042,22.65,23.883999999999997,18.490000000000002,15.96,16.22,18.24,17.95,17.66,14.59,16.78,17.57,18.18,20.14,19.41,20.92,20.55,20.31,22.63
GRC,20965.332,21913.797,22893.959,24380.066,25780.385,26091.523,27731.111,28822.916,28907.926,27839.898,26517.465,24349.0,22693.0,22118.0,22344.0,22442.0,22574.0,22959.121,23450.766,24.06,24.86,26.14,27.45,27.84,23.85,27.22,26.7,21.66,21.34,19.92,18.71,16.74,16.55,16.93,16.99,17.32,17.5,18.83
HRV,13244.541,13817.681,14683.838,15740.499,16628.574,17581.36,18707.49,19984.037,20717.316,19501.588,19511.35,19813.0,19441.0,19298.0,19284.0,19698.0,20376.0,21232.361,22012.314,22.042,22.65,23.883999999999997,18.490000000000002,23.062,23.756,18.083999999999996,19.151999999999997,18.352,17.36,17.848000000000003,17.544,11.31,11.46,11.59,12.35,13.12,14.67,15.73
ROU,7089.9463,7860.4434,8673.619,9369.233,10531.172,11313.822,12823.231,14418.83,16347.344,15866.127,16377.328,17174.0,17174.0,17979.0,18515.0,19320.0,17782.0,19158.36,20126.293,22.042,22.65,23.884,18.49,17.09,15.56,16.75,17.97,16.19,14.42,13.89,13.84,14.86,14.53,16.92,18.12,17.7,18.4,20.1
